ID,TrialIndex,TrialInfo,Catch,Distance,Group
64,5,1,True,0.24875621890547264,RL 7e
64,10,2,True,0.24875621890547264,RL 7e
64,12,3,True,0.0,RL 7e
64,15,3,True,0.29850746268656714,RL 7e
64,16,4,True,0.0,RL 7e
64,17,4,True,0.029850746268656716,RL 7e
64,18,4,True,0.0,RL 7e
64,19,4,True,0.0,RL 7e
64,20,4,True,0.0,RL 7e
65,18,4,True,0.04975124378109453,RL 7e
65,19,4,True,0.03482587064676617,RL 7e
66,1,1,True,0.014925373134328358,RL 7e
66,3,1,True,0.009950248756218905,RL 7e
66,5,1,True,0.06965174129353234,RL 7e
66,7,2,True,0.0,RL 7e
66,8,2,True,0.0,RL 7e
66,10,2,True,0.029850746268656716,RL 7e
66,11,3,True,0.17412935323383086,RL 7e
66,12,3,True,0.04975124378109453,RL 7e
66,13,3,True,0.24875621890547264,RL 7e
66,14,3,True,0.22388059701492538,RL 7e
66,15,3,True,0.04477611940298507,RL 7e
66,16,4,True,0.04975124378109453,RL 7e
66,17,4,True,0.09950248756218906,RL 7e
66,18,4,True,0.0,RL 7e
66,19,4,True,0.09950248756218906,RL 7e
66,20,4,True,0.029850746268656716,RL 7e
67,1,2,True,0.14925373134328357,RL 7e
67,2,2,True,0.0,RL 7e
67,3,2,True,0.0,RL 7e
67,4,2,True,0.0,RL 7e
67,5,2,True,0.0,RL 7e
67,6,3,True,0.0,RL 7e
67,7,3,True,0.0,RL 7e
67,8,3,True,0.0,RL 7e
67,9,3,True,0.0,RL 7e
67,10,3,True,0.0,RL 7e
67,11,4,True,0.0,RL 7e
67,12,4,True,0.0,RL 7e
67,13,4,True,0.0,RL 7e
67,14,4,True,0.0,RL 7e
67,15,4,True,0.0,RL 7e
69,1,1,True,0.44776119402985076,RL 7e
69,2,1,True,0.24875621890547264,RL 7e
69,3,1,True,0.29850746268656714,RL 7e
69,6,2,True,0.09950248756218906,RL 7e
69,7,2,True,0.24875621890547264,RL 7e
69,8,2,True,0.04975124378109453,RL 7e
69,11,3,True,0.0,RL 7e
69,12,3,True,0.19900497512437812,RL 7e
69,13,3,True,0.29850746268656714,RL 7e
69,14,3,True,0.44776119402985076,RL 7e
69,15,3,True,0.39800995024875624,RL 7e
69,17,4,True,0.0,RL 7e
69,18,4,True,0.09950248756218906,RL 7e
69,19,4,True,0.07462686567164178,RL 7e
70,1,1,True,0.7960199004975125,RL 7e
70,2,1,True,0.5572139303482587,RL 7e
70,3,1,True,0.4427860696517413,RL 7e
70,4,1,True,0.04975124378109453,RL 7e
70,5,1,True,1.0,RL 7e
70,6,2,True,0.0,RL 7e
70,7,2,True,0.4975124378109453,RL 7e
70,8,2,True,0.029850746268656716,RL 7e
70,10,2,True,0.0,RL 7e
70,11,3,True,0.0,RL 7e
70,13,3,True,0.0,RL 7e
70,14,3,True,0.0945273631840796,RL 7e
70,15,3,True,0.0,RL 7e
70,16,4,True,0.0,RL 7e
70,17,4,True,0.0,RL 7e
70,18,4,True,0.04975124378109453,RL 7e
70,19,4,True,0.0,RL 7e
70,20,4,True,0.0,RL 7e
71,7,2,True,0.04975124378109453,RL 7e
71,9,2,True,0.14925373134328357,RL 7e
71,10,2,True,0.07462686567164178,RL 7e
71,12,3,True,0.0,RL 7e
71,13,3,True,0.0,RL 7e
71,14,3,True,0.03482587064676617,RL 7e
71,15,3,True,0.07462686567164178,RL 7e
71,16,4,True,0.0,RL 7e
71,17,4,True,0.07960199004975124,RL 7e
71,18,4,True,0.029850746268656716,RL 7e
71,19,4,True,0.0,RL 7e
71,20,4,True,0.024875621890547265,RL 7e
72,2,1,True,0.30845771144278605,RL 7e
72,4,1,True,0.23880597014925373,RL 7e
72,5,1,True,0.32338308457711445,RL 7e
72,6,2,True,0.29850746268656714,RL 7e
72,10,2,True,0.0,RL 7e
72,14,3,True,0.09950248756218906,RL 7e
72,15,3,True,0.19900497512437812,RL 7e
72,16,4,True,0.08955223880597014,RL 7e
72,17,4,True,0.04975124378109453,RL 7e
72,19,4,True,0.07960199004975124,RL 7e
73,2,1,True,0.0,RL 7e
73,3,1,True,0.0,RL 7e
73,4,1,True,0.04975124378109453,RL 7e
73,5,1,True,0.014925373134328358,RL 7e
73,6,3,True,0.004975124378109453,RL 7e
73,7,3,True,0.004975124378109453,RL 7e
73,8,3,True,0.0,RL 7e
73,9,3,True,0.014925373134328358,RL 7e
73,10,3,True,0.0,RL 7e
73,11,4,True,0.014925373134328358,RL 7e
73,12,4,True,0.009950248756218905,RL 7e
73,13,4,True,0.0,RL 7e
73,14,4,True,0.0,RL 7e
73,15,4,True,0.0,RL 7e
74,2,1,True,0.0,RL 7e
