ID,Date,Points,Source
25, 2025-02-12 20:03:58,1,TischtennisSeite.csv
25, 2025-02-12 20:03:58,1,TischtennisSeite.csv
25, 2025-02-12 20:03:58,1,TischtennisSeite.csv
25, 2025-02-12 20:03:58,1,TischtennisSeite.csv
25, 2025-02-12 20:03:58,1,TischtennisSeite.csv
28, 2025-02-12 20:06:24,1,TischtennisSeite.csv
28, 2025-02-12 20:06:24,1,TischtennisSeite.csv
28, 2025-02-12 20:06:24,2,TischtennisSeite.csv
28, 2025-02-12 20:06:24,1,TischtennisSeite.csv
28, 2025-02-12 20:06:24,1,TischtennisSeite.csv
28, 2025-02-12 20:06:24,1,TischtennisSeite.csv
30, 2025-02-13 08:19:39,1,TischtennisSeite_30.csv
30, 2025-02-13 08:20:33,1,TischtennisSeite_30.csv
30, 2025-02-13 08:20:48,1,TischtennisSeite_30.csv
31, 2025-02-13 08:21:04,1,TischtennisSeite_31.csv
31, 2025-02-13 08:21:08,1,TischtennisSeite_31.csv
31, 2025-02-13 08:22:01,1,TischtennisSeite_31.csv
31, 2025-02-13 08:22:12,1,TischtennisSeite_31.csv
31, 2025-02-13 08:22:28,1,TischtennisSeite_31.csv
32, 2025-02-13 08:22:36,1,TischtennisSeite_32.csv
32, 2025-02-13 08:22:43,1,TischtennisSeite_32.csv
32, 2025-02-13 08:22:47,1,TischtennisSeite_32.csv
31, 2025-02-13 08:23:15,2,TischtennisSeite_31.csv
33, 2025-02-13 08:23:17,5,TischtennisSeite_33.csv
33, 2025-02-13 08:23:19,1,TischtennisSeite_33.csv
33, 2025-02-13 08:23:19,1,TischtennisSeite_33.csv
31, 2025-02-13 08:23:26,3,TischtennisSeite_31.csv
33, 2025-02-13 08:23:29,1,TischtennisSeite_33.csv
33, 2025-02-13 08:23:38,3,TischtennisSeite_33.csv
33, 2025-02-13 08:23:39,1,TischtennisSeite_33.csv
32, 2025-02-13 08:23:40,1,TischtennisSeite_32.csv
32, 2025-02-13 08:23:43,2,TischtennisSeite_32.csv
33, 2025-02-13 08:23:44,2,TischtennisSeite_33.csv
33, 2025-02-13 08:23:55,2,TischtennisSeite_33.csv
33, 2025-02-13 08:24:00,4,TischtennisSeite_33.csv
33, 2025-02-13 08:24:06,3,TischtennisSeite_33.csv
32, 2025-02-13 08:24:14,2,TischtennisSeite_32.csv
33, 2025-02-13 08:24:16,2,TischtennisSeite_33.csv
32, 2025-02-13 08:24:19,1,TischtennisSeite_32.csv
33, 2025-02-13 08:24:24,2,TischtennisSeite_33.csv
33, 2025-02-13 08:24:28,2,TischtennisSeite_33.csv
33, 2025-02-13 08:24:36,2,TischtennisSeite_33.csv
32, 2025-02-13 08:24:43,1,TischtennisSeite_32.csv
33, 2025-02-13 08:24:48,1,TischtennisSeite_33.csv
37, 2025-02-13 08:24:51,2,TischtennisSeite_37.csv
33, 2025-02-13 08:24:54,4,TischtennisSeite_33.csv
37, 2025-02-13 08:25:09,2,TischtennisSeite_37.csv
33, 2025-02-13 08:25:09,2,TischtennisSeite_33.csv
36, 2025-02-13 08:25:12,1,TischtennisSeite_36.csv
33, 2025-02-13 08:25:12,1,TischtennisSeite_33.csv
33, 2025-02-13 08:25:12,1,TischtennisSeite_33.csv
